Nama Wilayah,IUHH,IPTHN,IPLRN,IPM,Latitude,Longitude
Kabupaten Simeulue,0.700,0.715,0.608,67.27,2.644,96.0256
Kabupaten Aceh Singkil,0.733,0.688,0.669,69.62,2.3589,97.8722
Kabupaten Aceh Selatan,0.687,0.704,0.646,67.87,3.3115,97.3517
Kabupaten Aceh Tenggara,0.746,0.727,0.642,70.32,3.3089,97.6982
Kabupaten Aceh Timur,0.753,0.640,0.673,68.72,4.5224,97.6114
Kabupaten Aceh Tengah,0.755,0.735,0.729,73.95,4.4483,96.8351
Kabupaten Aceh Barat,0.741,0.735,0.694,72.34,4.4543,96.1527
Kabupaten Aceh Besar,0.769,0.755,0.698,74,5.4529,95.4778
Kabupaten Pidie,0.725,0.703,0.708,71.2,5.0743,95.941
Kabupaten Bireuen,0.792,0.723,0.684,73.16,5.1086,96.6638
Kabupaten Aceh Utara,0.754,0.700,0.656,70.22,4.9786,97.2221
Kabupaten Aceh Barat Daya,0.697,0.669,0.657,67.41,3.7963,97.0068
Kabupaten Gayo Lues,0.704,0.671,0.672,68.25,3.9552,97.3517
Kabupaten Aceh Tamiang,0.767,0.689,0.661,70.43,4.2329,98.0029
Kabupaten Nagan Raya,0.761,0.692,0.655,70.1,4.1248,96.493
Kabupaten Aceh Jaya,0.729,0.680,0.703,70.36,4.7874,95.6458
Kabupaten Bener Meriah,0.761,0.715,0.742,73.9,4.7514,96.9525
Kabupaten Pidie Jaya,0.776,0.734,0.722,74.34,5.1548,96.1951
Kota Banda Aceh,0.797,0.929,0.868,86.28,5.5483,95.3238
Kota Sabang,0.781,0.773,0.751,76.85,5.8926,95.3238
Kota Langsa,0.764,0.806,0.766,77.82,4.4725,97.9756
Kota Lhokseumawe,0.798,0.795,0.749,78.04,5.1812,97.1413
Kota Subulussalam,0.682,0.685,0.621,66.2,2.7121,97.9157
Kabupaten Nias,0.770,0.558,0.601,63.69,1.0869,97.7417
Kabupaten Mandailing Natal,0.662,0.677,0.703,68.05,0.7432,99.3673
Kabupaten Tapanuli Selatan,0.697,0.683,0.750,70.92,1.5775,99.2786
Kabupaten Tapanuli Tengah,0.732,0.663,0.716,70.31,1.8493,98.7041
Kabupaten Tapanuli Utara,0.756,0.714,0.754,74.14,2.0405,99.1013
Kabupaten Toba Samosir,0.781,0.730,0.769,75.96,2.3502,99.2786
Kabupaten Labuhan Batu,0.775,0.673,0.743,72.92,2.344,100.1703
Kabupaten Asahan,0.750,0.645,0.744,71.13,2.8175,99.6341
Kabupaten Simalungun,0.797,0.677,0.745,73.77,2.9782,99.2786
